id,folder,evidence_level,caption,source,formats
H01_project_title,01_HEADLINE_CARDS,Verified framing; frozen experiment,Project-title lockup for the top of a poster.,latex_short_paper/main.tex; results/qft_certificate_gap/configuration.json,H01_project_title.png; H01_project_title.svg
H02_one_layer_result,01_HEADLINE_CARDS,Verified frozen empirical result,Primary one-layer finding; N is the unit of generalization.,results/qft_certificate_gap/certificate_gap_rows.csv; paired_cluster_rows.csv,H02_one_layer_result.png; H02_one_layer_result.svg
H03_two_layer_qualified,01_HEADLINE_CARDS,Verified frozen empirical result,Use beside the main result to prevent overgeneralization.,results/qft_certificate_gap/certificate_gap_rows.csv,H03_two_layer_qualified.png; H03_two_layer_qualified.svg
H04_qft_savings_hero,01_HEADLINE_CARDS,Verified compiled QFT-only resource result,"Largest observed passing QFT-only saving, finite-Gaussian M=32.",results/qft_certificate_gap/configuration_rows.csv,H04_qft_savings_hero.png; H04_qft_savings_hero.svg
H05_evidence_snapshot,01_HEADLINE_CARDS,Verified frozen experiment inventory,Compact numeric overview.,results/qft_certificate_gap/configuration.json,H05_evidence_snapshot.png; H05_evidence_snapshot.svg
H06_claim_boundary,01_HEADLINE_CARDS,Verified scope statement,A prominent limitation card for responsible poster wording.,latex_short_paper/main.tex; results/qft_certificate_gap/configuration.json,H06_claim_boundary.png; H06_claim_boundary.svg
B01_shor_vs_regev,02_BEGINNER_BACKGROUND,Conceptual background,Beginner-friendly comparison; no speedup claim.,Shor (1994/1997); Regev (2023/2025),B01_shor_vs_regev.png; B01_shor_vs_regev.svg
B02_regev_one_picture,02_BEGINNER_BACKGROUND,Conceptual schematic of implemented endpoint,Horizontal full-pipeline explainer.,latex_short_paper/main.tex; regev_research/,B02_regev_one_picture.png; B02_regev_one_picture.svg
B03_qft_frequency_lens,02_BEGINNER_BACKGROUND,Conceptual schematic,Beginner QFT intuition.,Standard QFT interpretation,B03_qft_frequency_lens.png; B03_qft_frequency_lens.svg
B04_exact_vs_truncated_qft,02_BEGINNER_BACKGROUND,Conceptual schematic,Explains what a QFT cutoff changes.,regev_research/qft_certificate.py,B04_exact_vs_truncated_qft.png; B04_exact_vs_truncated_qft.svg
B05_relation_to_factor,02_BEGINNER_BACKGROUND,Implemented mathematical endpoint,Beginner factor-extraction explainer.,latex_short_paper/main.tex; regev_research/lattice.py,B05_relation_to_factor.png; B05_relation_to_factor.svg
B06_roots_and_bases,02_BEGINNER_BACKGROUND,Verified implementation requirement,Root-provenance explainer.,ROOT_PROVENANCE_RED_TEAM.md; latex_short_paper/main.tex,B06_roots_and_bases.png; B06_roots_and_bases.svg
P01_full_endpoint,03_PIPELINE,Verified implemented workflow,Detailed pipeline strip.,latex_short_paper/main.tex; regev_research/lattice.py,P01_full_endpoint.png; P01_full_endpoint.svg
