id,folder,title,evidence_level,caption,source,files
H01_project_title,01_HEADLINE_CARDS,A QFT certificate can reject a cutoff that the full decoder still tolerates,Verified framing; frozen experiment,Project-title lockup for the top of a poster.,latex_short_paper/main.tex; results/qft_certificate_gap/configuration.json,H01_project_title.png; H01_project_title.svg
H02_one_layer_result,01_HEADLINE_CARDS,One omitted QFT layer passed in every tested model–modulus cell,Verified frozen empirical result,Primary one-layer finding; N is the unit of generalization.,results/qft_certificate_gap/certificate_gap_rows.csv; paired_cluster_rows.csv,H02_one_layer_result.png; H02_one_layer_result.svg
H03_two_layer_qualified,01_HEADLINE_CARDS,Two omitted layers passed only in the finite-Gaussian model at M = 16 and 32,Verified frozen empirical result,Use beside the main result to prevent overgeneralization.,results/qft_certificate_gap/certificate_gap_rows.csv,H03_two_layer_qualified.png; H03_two_layer_qualified.svg
H04_qft_savings_hero,01_HEADLINE_CARDS,6 controlled phases and 12 transpiled CX gates removed,Verified compiled QFT-only resource result,"Largest observed passing QFT-only saving, finite-Gaussian M=32.",results/qft_certificate_gap/configuration_rows.csv,H04_qft_savings_hero.png; H04_qft_savings_hero.svg
H05_evidence_snapshot,01_HEADLINE_CARDS,Evidence at a glance,Verified frozen experiment inventory,Compact numeric overview.,results/qft_certificate_gap/configuration.json,H05_evidence_snapshot.png; H05_evidence_snapshot.svg
H06_claim_boundary,01_HEADLINE_CARDS,A finite certification gap — not a universal approximate-QFT theorem,Verified scope statement,A prominent limitation card for responsible poster wording.,latex_short_paper/main.tex; results/qft_certificate_gap/configuration.json,H06_claim_boundary.png; H06_claim_boundary.svg
B01_shor_vs_regev,02_BEGINNER_BACKGROUND,Shor vs. Regev tradeoff,Conceptual background,Beginner-friendly comparison; no speedup claim.,Shor (1994/1997); Regev (2023/2025),B01_shor_vs_regev.png; B01_shor_vs_regev.svg
B02_regev_one_picture,02_BEGINNER_BACKGROUND,Regev-style factoring in one picture,Conceptual schematic of implemented endpoint,Horizontal full-pipeline explainer.,latex_short_paper/main.tex; regev_research/,B02_regev_one_picture.png; B02_regev_one_picture.svg
B03_qft_frequency_lens,02_BEGINNER_BACKGROUND,QFT as a frequency lens,Conceptual schematic,Beginner QFT intuition.,Standard QFT interpretation,B03_qft_frequency_lens.png; B03_qft_frequency_lens.svg
B04_exact_vs_truncated_qft,02_BEGINNER_BACKGROUND,Exact vs. truncated QFT,Conceptual schematic,Explains what a QFT cutoff changes.,regev_research/qft_certificate.py,B04_exact_vs_truncated_qft.png; B04_exact_vs_truncated_qft.svg
B05_relation_to_factor,02_BEGINNER_BACKGROUND,Relation to factor,Implemented mathematical endpoint,Beginner factor-extraction explainer.,latex_short_paper/main.tex; regev_research/lattice.py,B05_relation_to_factor.png; B05_relation_to_factor.svg
B06_roots_and_bases,02_BEGINNER_BACKGROUND,Stored roots and squared bases,Verified implementation requirement,Root-provenance explainer.,ROOT_PROVENANCE_RED_TEAM.md; latex_short_paper/main.tex,B06_roots_and_bases.png; B06_roots_and_bases.svg
P01_full_endpoint,03_PIPELINE,The tested endpoint,Verified implemented workflow,Detailed pipeline strip.,latex_short_paper/main.tex; regev_research/lattice.py,P01_full_endpoint.png; P01_full_endpoint.svg
P02_quantum_classical_split,03_PIPELINE,Quantum/classical split,Conceptual schematic of implemented pipeline,Useful center-panel bridge graphic.,latex_short_paper/main.tex,P02_quantum_classical_split.png; P02_quantum_classical_split.svg
P03_samples_to_lattice,03_PIPELINE,Samples become an exact integer lattice,Verified implementation schematic,Sample-to-lattice construction.,"latex_short_paper/main.tex, Eq. (5)",P03_samples_to_lattice.png; P03_samples_to_lattice.svg
P04_stored_root_endpoint,03_PIPELINE,The stored-root factor endpoint,Verified implementation schematic,Candidate classification and factor endpoint.,latex_short_paper/main.tex; ROOT_PROVENANCE_RED_TEAM.md,P04_stored_root_endpoint.png; P04_stored_root_endpoint.svg
P05_data_dependency,03_PIPELINE,Evidence dependency graph,Verified frozen analysis flow,Shows how inputs become the primary claim.,results/qft_certificate_gap/configuration.json; paired_cluster_rows.csv,P05_data_dependency.png; P05_data_dependency.svg
C01_certificate_chain,04_CERTIFICATE_AND_FIBERS,What the original certificate bounds,Verified proof audit schematic,Line-by-line certificate chain.,QFT_CERTIFICATE_PROOF_AUDIT.md; latex_short_paper/main.tex,C01_certificate_chain.png; C01_certificate_chain.svg
C02_worst_case_vs_prepared,04_CERTIFICATE_AND_FIBERS,Worst case vs prepared state,Analytical mechanism,Explains the certification gap.,QFT_CERTIFICATE_PROOF_AUDIT.md,C02_worst_case_vs_prepared.png; C02_worst_case_vs_prepared.svg
C03_fiber_cancellation,04_CERTIFICATE_AND_FIBERS,Fiber cancellation,Analytical mechanism,Hero mechanism diagram.,"latex_short_paper/main.tex, Eq. (4)",C03_fiber_cancellation.png; C03_fiber_cancellation.svg
C04_n15_counterexample,04_CERTIFICATE_AND_FIBERS,Certificate rejects — measured distributions are identical,Verified controlled example,Explicit equal-law counterexample.,results/qft_certificate_gap/controlled_examples.json,C04_n15_counterexample.png; C04_n15_counterexample.svg
C05_certificate_barrier,04_CERTIFICATE_AND_FIBERS,Finite certificate barrier,Verified proof-audit consequence,"Visualizes M < 4πdm/Δ with frozen d,m,Δ.","latex_short_paper/main.tex, Proposition 1",C05_certificate_barrier.png; C05_certificate_barrier.svg
C06_three_questions,04_CERTIFICATE_AND_FIBERS,Certificate vs distribution vs endpoint,Verified explanatory synthesis,Separates three common claims.,QFT_CERTIFICATE_PROOF_AUDIT.md; certificate_gap_rows.csv,C06_three_questions.png; C06_three_questions.svg
E01_frozen_protocol,05_FROZEN_EXPERIMENT,Frozen held-out protocol,Verified frozen design,Protocol overview.,results/qft_certificate_gap/configuration.json,E01_frozen_protocol.png; E01_frozen_protocol.svg
E02_heldout_moduli,05_FROZEN_EXPERIMENT,Held-out semiprimes,Verified frozen design,Complete held-out N list.,results/qft_certificate_gap/configuration.json,E02_heldout_moduli.png; E02_heldout_moduli.svg
E03_design_grid,05_FROZEN_EXPERIMENT,Primary experiment grid,Verified frozen design,Six primary model–M cells.,results/qft_certificate_gap/configuration.json,E03_design_grid.png; E03_design_grid.svg
E04_unit_generalization,05_FROZEN_EXPERIMENT,N is the unit of generalization,Verified statistical design,Prevents pseudoreplication in poster interpretation.,results/qft_certificate_gap/paired_cluster_rows.csv,E04_unit_generalization.png; E04_unit_generalization.svg
E05_noninferiority_ruler,05_FROZEN_EXPERIMENT,Non-inferiority rule,Verified frozen decision rule,Explains the 0.10 margin.,results/qft_certificate_gap/configuration.json,E05_noninferiority_ruler.png; E05_noninferiority_ruler.svg
E06_freeze_seed,05_FROZEN_EXPERIMENT,One frozen version. One master seed. Every row retained.,Verified reproducibility metadata,Seed/freeze card.,results/qft_certificate_gap/configuration.json,E06_freeze_seed.png; E06_freeze_seed.svg
R01_primary_heatmap,06_PRIMARY_RESULTS,Largest passing omission,Verified frozen empirical result,Primary result heatmap.,results/qft_certificate_gap/certificate_gap_rows.csv,R01_primary_heatmap.png; R01_primary_heatmap.svg
R02_all_paired_differences,06_PRIMARY_RESULTS,Paired recovery differences,Verified frozen empirical result,Forest plot of all non-exact cutoffs.,results/qft_certificate_gap/paired_cluster_rows.csv,R02_all_paired_differences.png; R02_all_paired_differences.svg
R03_recovery_curve_model_A,06_PRIMARY_RESULTS,Recovery curve: uniform hard-box,Verified frozen empirical result,Recovery vs omitted layers for uniform hard-box.,results/qft_certificate_gap/per_N_rows.csv,R03_recovery_curve_model_A.png; R03_recovery_curve_model_A.svg
R04_recovery_curve_model_B,06_PRIMARY_RESULTS,Recovery curve: finite discrete-Gaussian,Verified frozen empirical result,Recovery vs omitted layers for finite discrete-Gaussian.,results/qft_certificate_gap/per_N_rows.csv,R04_recovery_curve_model_B.png; R04_recovery_curve_model_B.svg
R05_per_N_omit1_M32,06_PRIMARY_RESULTS,Per-N one-layer comparison,Verified frozen empirical result,Exact vs one-layer omission for every held-out N at M=32.,results/qft_certificate_gap/per_N_rows.csv,R05_per_N_omit1_M32.png; R05_per_N_omit1_M32.svg
R06_margin_sensitivity,06_PRIMARY_RESULTS,Margin sensitivity,Verified post-hoc sensitivity analysis,How the allowed margin changes the largest passing cutoff.,results/qft_certificate_gap/margin_summary_rows.csv,R06_margin_sensitivity.png; R06_margin_sensitivity.svg
R07_certificate_gap_summary,06_PRIMARY_RESULTS,Certificate–endpoint gap,Verified frozen result,Direct side-by-side primary conclusion.,results/qft_certificate_gap/certificate_gap_rows.csv,R07_certificate_gap_summary.png; R07_certificate_gap_summary.svg
G01_M32_resource_bars,07_RESOURCE_SAVINGS,M=32 QFT-only resources,Verified compiled resource result,"Exact, one-layer, and two-layer QFT resources.",results/qft_certificate_gap/configuration_rows.csv,G01_M32_resource_bars.png; G01_M32_resource_bars.svg
G02_one_layer_savings,07_RESOURCE_SAVINGS,Omit one layer: −2 CP and −4 CX,Verified QFT-only resource + endpoint result,Universal tested one-layer resource card.,certificate_gap_rows.csv; configuration_rows.csv,G02_one_layer_savings.png; G02_one_layer_savings.svg
G03_two_layer_savings,07_RESOURCE_SAVINGS,Omit two layers: −6 CP and −12 CX,Verified QFT-only resource + endpoint result,Qualified maximum-saving card.,certificate_gap_rows.csv; configuration_rows.csv,G03_two_layer_savings.png; G03_two_layer_savings.svg
G04_qft_layer_map,07_RESOURCE_SAVINGS,QFT layer map,Conceptual schematic with verified M=32 context,Shows which interaction distances truncation targets.,regev_research/circuits.py; configuration_rows.csv,G04_qft_layer_map.png; G04_qft_layer_map.svg
G05_cost_vs_acceptance,07_RESOURCE_SAVINGS,Cost vs accepted cells,Verified descriptive synthesis,Shows resource/endpoint tradeoff without implying speedup.,certificate_gap_rows.csv; configuration_rows.csv,G05_cost_vs_acceptance.png; G05_cost_vs_acceptance.svg
D01_leave_one_N_out,08_ROBUSTNESS_AND_DIAGNOSTICS,Leave-one-N-out stability,Verified sensitivity analysis,One-layer decision under every leave-one-N-out dataset.,results/qft_certificate_gap/leave_one_N_out_rows.csv,D01_leave_one_N_out.png; D01_leave_one_N_out.svg
D02_proof_slack,08_ROBUSTNESS_AND_DIAGNOSTICS,Certificate proof slack,Verified diagnostic analysis,Median looseness at each certificate step.,results/qft_certificate_gap/proof_slack_rows.csv,D02_proof_slack.png; D02_proof_slack.svg
D03_distribution_tv,08_ROBUSTNESS_AND_DIAGNOSTICS,Finite distribution diagnostics,Verified finite diagnostic,TV change in the exact finite measured law.,results/qft_certificate_gap/configuration_rows.csv,D03_distribution_tv.png; D03_distribution_tv.svg
D04_implementation_correction,08_ROBUSTNESS_AND_DIAGNOSTICS,The custom approximate inverse QFT had its gate order reversed,Verified pre-holdout implementation correction,Transparent software-audit card.,QFT_CERTIFICATE_GAP_ADVERSARIAL_AUDIT.md; latex_short_paper/main.tex,D04_implementation_correction.png; D04_implementation_correction.svg
D05_near_tight_gate_step,08_ROBUSTNESS_AND_DIAGNOSTICS,The first gate-level step can be almost tight,Verified controlled adversarial example,Shows why the proof cannot be dismissed wholesale.,results/qft_certificate_gap/controlled_examples.json,D05_near_tight_gate_step.png; D05_near_tight_gate_step.svg
L01_scope_grid,09_LIMITATIONS_AND_CLAIMS,Scope grid,Verified scope statement,Tested vs unestablished claims.,latex_short_paper/main.tex,L01_scope_grid.png; L01_scope_grid.svg
L02_no_speedup_claim,09_LIMITATIONS_AND_CLAIMS,Gate savings do not yet equal hardware speedup,Verified claim limitation,Poster guardrail against end-to-end speedup language.,latex_short_paper/main.tex,L02_no_speedup_claim.png; L02_no_speedup_claim.svg
L03_model_B_limit,09_LIMITATIONS_AND_CLAIMS,Finite Gaussian is closer to Regev — but it is not the full theorem regime,Verified model limitation,Precise finite-Gaussian boundary.,latex_short_paper/main.tex,L03_model_B_limit.png; L03_model_B_limit.svg
L04_three_claims,09_LIMITATIONS_AND_CLAIMS,Three evidence labels,Verified evidence taxonomy,Ready-to-use conclusion graphic.,latex_short_paper/main.tex,L04_three_claims.png; L04_three_claims.svg
L05_why_it_matters,09_LIMITATIONS_AND_CLAIMS,Certify the state and task you actually run,Interpretive implication supported by mechanism + experiment,Closing significance card; framed as future direction.,QFT_CERTIFICATE_PROOF_AUDIT.md; certificate_gap_rows.csv,L05_why_it_matters.png; L05_why_it_matters.svg
V01_lattice_field,10_DECORATIVE_VECTORS,Lattice field motif,Decorative schematic; not data,Square poster background or accent.,Conceptual,V01_lattice_field.png; V01_lattice_field.svg
V02_fourier_rings,10_DECORATIVE_VECTORS,Fourier rings motif,Decorative schematic; not data,Square visual accent.,Conceptual,V02_fourier_rings.png; V02_fourier_rings.svg
V03_fiber_streams,10_DECORATIVE_VECTORS,Fiber streams motif,Decorative schematic; not data,Wide visual divider.,Conceptual,V03_fiber_streams.png; V03_fiber_streams.svg
BACKGROUND_earlier_entropy_relation_recovery,11_EXISTING_REPO_FIGURES,BACKGROUND earlier entropy relation recovery,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/BACKGROUND_earlier_entropy_relation_recovery.png,BACKGROUND_earlier_entropy_relation_recovery.png
BACKGROUND_standard_parseval_identity,11_EXISTING_REPO_FIGURES,BACKGROUND standard parseval identity,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/BACKGROUND_standard_parseval_identity.png,BACKGROUND_standard_parseval_identity.png
BACKGROUND_superseded_cutoff_scaling,11_EXISTING_REPO_FIGURES,BACKGROUND superseded cutoff scaling,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/BACKGROUND_superseded_cutoff_scaling.png,BACKGROUND_superseded_cutoff_scaling.png
BACKGROUND_superseded_endpoint_success_vs_cutoff,11_EXISTING_REPO_FIGURES,BACKGROUND superseded endpoint success vs cutoff,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/BACKGROUND_superseded_endpoint_success_vs_cutoff.png,BACKGROUND_superseded_endpoint_success_vs_cutoff.png
BACKGROUND_superseded_qft_tv_vs_cutoff,11_EXISTING_REPO_FIGURES,BACKGROUND superseded qft tv vs cutoff,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/BACKGROUND_superseded_qft_tv_vs_cutoff.png,BACKGROUND_superseded_qft_tv_vs_cutoff.png
BACKGROUND_superseded_recovery_transition,11_EXISTING_REPO_FIGURES,BACKGROUND superseded recovery transition,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/BACKGROUND_superseded_recovery_transition.png,BACKGROUND_superseded_recovery_transition.png
NEGATIVE_earlier_diversity_vs_lattice_success,11_EXISTING_REPO_FIGURES,NEGATIVE earlier diversity vs lattice success,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/NEGATIVE_earlier_diversity_vs_lattice_success.png,NEGATIVE_earlier_diversity_vs_lattice_success.png
NEGATIVE_earlier_model_ablation,11_EXISTING_REPO_FIGURES,NEGATIVE earlier model ablation,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/NEGATIVE_earlier_model_ablation.png,NEGATIVE_earlier_model_ablation.png
PRIMARY_current_certificate_vs_recovery,11_EXISTING_REPO_FIGURES,PRIMARY current certificate vs recovery,Existing repository figure; inspect README evidence labels,Pre-existing asset included for poster selection.,poster graphics/11_EXISTING_REPO_FIGURES/PRIMARY_current_certificate_vs_recovery.png,PRIMARY_current_certificate_vs_recovery.png
D01_quantum_to_lattice_hero_dark_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,D01 quantum to lattice hero dark DECORATIVE NOT DATA,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D01_quantum_to_lattice_hero_dark_DECORATIVE_NOT_DATA.png,D01_quantum_to_lattice_hero_dark_DECORATIVE_NOT_DATA.png
D01a_dark_header_4x1_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,D01a dark header 4x1 DECORATIVE NOT DATA,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D01a_dark_header_4x1_DECORATIVE_NOT_DATA.png,D01a_dark_header_4x1_DECORATIVE_NOT_DATA.png
D01b_dark_panel_3x2_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,D01b dark panel 3x2 DECORATIVE NOT DATA,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D01b_dark_panel_3x2_DECORATIVE_NOT_DATA.png,D01b_dark_panel_3x2_DECORATIVE_NOT_DATA.png
D01c_dark_lattice_square_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,D01c dark lattice square DECORATIVE NOT DATA,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D01c_dark_lattice_square_DECORATIVE_NOT_DATA.png,D01c_dark_lattice_square_DECORATIVE_NOT_DATA.png
D02_certificate_fiber_lattice_hero_light_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,D02 certificate fiber lattice hero light DECORATIVE NOT DATA,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D02_certificate_fiber_lattice_hero_light_DECORATIVE_NOT_DATA.png,D02_certificate_fiber_lattice_hero_light_DECORATIVE_NOT_DATA.png
D02a_light_header_4x1_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,D02a light header 4x1 DECORATIVE NOT DATA,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D02a_light_header_4x1_DECORATIVE_NOT_DATA.png,D02a_light_header_4x1_DECORATIVE_NOT_DATA.png
D02b_light_panel_3x2_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,D02b light panel 3x2 DECORATIVE NOT DATA,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D02b_light_panel_3x2_DECORATIVE_NOT_DATA.png,D02b_light_panel_3x2_DECORATIVE_NOT_DATA.png
D02c_light_lattice_square_DECORATIVE_NOT_DATA,12_DECORATIVE_AI_CONCEPTS,D02c light lattice square DECORATIVE NOT DATA,Decorative AI concept; NOT DATA,Pre-existing asset included for poster selection.,poster graphics/12_DECORATIVE_AI_CONCEPTS/D02c_light_lattice_square_DECORATIVE_NOT_DATA.png,D02c_light_lattice_square_DECORATIVE_NOT_DATA.png
